Gene,Chromosome Position,log2FoldChange,padj,Total_Mutations
PIK3CA,3q26.32,-0.388160566,1.8401980021096e-05,332
TP53,17p13.1,0.47572711,0.000120034,332
TTN,2q31.2,-1.13194046,9.508540270264659e-22,207
MUC16,19p13.2,2.473910448,2.89243533647284e-21,129
GATA3,10p14,-1.026346969,2.05075514552386e-07,127
KMT2C,7q36.1,-0.525609779,8.191512170096601e-10,88
MAP3K1,5q11.2,-0.859546249,2.34794922164709e-16,85
RYR2,1q43,0.90764605,7.70995518043862e-05,79
SYNE1,6q25.2,-1.677714834,5.1646907431914e-58,71
HMCN1,1q25.3-q31.1,-0.969733062,9.177092982533401e-10,69
FLG,1q21.3,-1.015625822,4.12965315084195e-07,64
SPTA1,1q23.1,-1.213908759,9.970525857018159e-11,60
RYR3,15q13.3-q14,-1.284527603,5.3857767423038496e-18,58
ZFHX4,8q21.13,-1.658928741,3.04784322186739e-24,55
DMD,Xp21.2-p21.1,-1.716129862,4.96915073805294e-29,54
OBSCN,1q42.13,-0.425840806,0.002320062,54
PTEN,10q23.31,-1.050378299,6.06384013670939e-32,52
DST,6p12.1,-2.479769929,2.88119034652621e-93,51
NCOR1,17p12-p11.2,-0.465631421,3.18184912318419e-15,51
ABCA13,7p12.3,2.51637202,9.548410565429651e-21,50
MACF1,1p34.3,-0.319472936,0.000116561,50
MUC5B,11p15.5,3.325964209,2.90758317629487e-43,45
PKHD1L1,8q23.1-q23.2,-2.853515228,1.5635069590434197e-42,45
FAT3,11q14.3,-1.646096676,1.7918607981025397e-18,45
APOB,2p24.1,-6.017406475,3.98679392831796e-113,44
SYNE2,14q23.2,-0.654688264,3.11306038894324e-12,43
LRP2,2q31.1,-1.235151152,3.7968989579884e-05,43
NF1,17q11.2,-0.527774512,3.11853755066074e-10,42
PCLO,7q21.11,-0.837749188,5.11835720795828e-08,42
HUWE1,Xp11.22,0.308488841,7.60132933255899e-06,42
RYR1,19q13.2,0.69436467,2.18071114344649e-05,42
DNAH11,7p15.3,2.656658278,1.8547771660495098e-36,41
CACNA1E,1q25.3,1.904442272,1.83474929204689e-24,41
LRP1B,2q22.1-q22.2,-1.791357523,1.33000974654215e-12,41
ADGRV1,5q14.3,-1.962427284,1.1130671241961098e-18,39
MAP2K4,17p12,-0.418368157,7.93921589702104e-15,39
SPEN,1p36.21-p36.13,-0.366776912,8.71340836275463e-09,39
ARID1A,1p36.11,0.192954579,0.001673758,39
KMT2D,12q13.12,-0.39073908,2.2594260262003e-06,38
CSMD2,1p35.1,3.11394803,5.61064316533413e-59,37
ASPM,1q31.3,4.557798766,4.41043424572017e-179,36
MYCBP2,13q22.3,-1.237154184,1.5281196416970398e-36,36
MXRA5,Xp22.33,0.741699792,1.6598537315041102e-09,36
CUBN,10p13,-0.702924797,1.15376043100714e-06,36
PRKDC,8q11.21,1.357290874,2.2291596197877302e-45,35
DNAH9,17p12,-2.923971475,1.16985287093546e-43,35
DNAH17,17q25.3,1.491905899,6.52321381187813e-25,35
TBX3,12q24.21,-1.164168119,4.910791563038699e-19,35
RELN,7q22.1,-1.818659144,1.65118138333555e-12,35
LRP1,12q13.3,-2.004809118,4.67571481269556e-48,34
PRUNE2,9q21.2,-1.435491201,1.77411234781628e-18,34
HERC2,15q13.1,-0.44318308,1.2508589301469899e-11,34
VPS13B,8q22.2,-0.289067743,0.00033105,34
FMN2,1q43,-0.510738066,0.026915779,34
AHNAK,11q12.3,-2.431071693,1.69798739015371e-108,33
MYH9,22q12.3,0.262090336,0.002156029,33
SVEP1,9q31.3,-4.029293797,1.0545713238395901e-120,32
CHD4,12p13.31,1.20150456,1.6195883040695698e-56,32
PIK3R1,5q13.1,-1.518030653,3.56765614509382e-43,32
DNAH5,5p15.2,-1.279372188,5.68548698779569e-10,32
TENM1,Xq25,-1.073471122,7.961866636146e-07,32
ANK2,4q25-q26,-2.651656819,2.27456162307126e-71,31
KIAA1109,,-1.28425806,7.579339696774131e-47,31
MAP1A,15q15.3,-1.449591394,1.1392723396368799e-34,31
KMT2A,11q23.3,-0.629178825,1.4311526517602602e-17,31
LYST,1q42.3,-0.816452252,7.08416130164679e-17,31
DNAH10,12q24.31,0.490793204,3.29463175225492e-05,31
USP34,2p15,-0.22436481,0.043842842,31
CHD6,20q12,-0.561527026,7.85921825385056e-12,30
AKAP9,7q21.2,-0.38341402,1.61325526023597e-05,30
DCHS2,4q31.3,0.813408476,0.000267421,30
PTPRD,9p24.1-p23,0.603872144,0.000269052,30
F8,Xq28,-1.935745517,2.38415358416662e-72,29
DOCK11,Xq24,-2.11882622,1.48043878417186e-40,29
DNAH7,2q32.3,-1.725226884,3.23145898713295e-30,29
AHCTF1,1q44,0.716747542,4.09362530717259e-20,29
DNAH3,16p12.3,1.771988741,1.8364673078044202e-17,29
TG,8q24.22,1.35649549,4.2256200382054003e-16,29
ASXL3,18q12.1,-1.196975056,8.62773405786804e-08,29
DNAH2,17p13.1,0.723205142,7.23851048327379e-05,29
FOXA1,14q21.1,-0.867302806,0.001954597,29
PREX2,8q13.2,-3.004426714,1.02112253663304e-85,28
PAPPA2,1q25.2,-3.396761772,6.87389417486666e-83,28
UTRN,6q24.2,-1.790690375,2.23700944359331e-71,28
VPS13C,15q22.2,-1.098965597,2.19219363510653e-33,28
AKT1,14q32.33,0.445147045,1.9641426748111e-09,28
COL12A1,6q13-q14.1,0.846060476,2.8631222512228904e-09,28
GON4L,1q22,0.357990148,1.03330914636246e-08,28
KIF4A,Xq13.1,4.73479751,5.8743847502294e-250,27
CMYA5,5q14.1,-2.487025907,1.44510127148973e-48,27
