Gene,pval_adj_Single_cell,log2FoldChange,padj,Chromosome Position,Total_Mutations
ARHGDIB,0,0.675450267,1.35832761415381e-09,12p12.3,2
TRAC,0,1.316221644,1.3520677666916802e-19,14q11.2,4
IL32,0,1.968353571,2.59450271492627e-38,16p13.3,1
CORO1A,0,1.759025292,2.63600118488016e-34,16p11.2,1
HLA-A,0,1.389443881,1.52563818615041e-39,6p22.1,1
CD2,0,1.522325112,1.9250720604202505e-23,1p13.1,5
RPL27A,0,0.448408006,2.7212087089119e-06,11p15.4,1
ACTB,0,0.91137207,6.33643229853058e-39,7p22.1,6
RGS1,0,0.695228022,2.33384341493654e-05,1q31.2,3
TRBC2,0,1.61284288,3.89605912029732e-24,7q34,1
HLA-E,0,-0.359640023,0.000136555,6p22.1,4
RPL37,0,0.380153062,0.000178845,5p13.1,1
EIF4A3,0,1.081951701,3.06158872736555e-68,17q25.3,6
TM4SF1,0,0.818222374,1.8199744701559494e-11,3q25.1,1
PGRMC1,0,0.467169722,1.20451242342283e-10,Xq24,4
PTMA,0,1.276134644,2.78949747379825e-66,2q37.1,1
HSBP1,0,0.575375424,4.67870568772201e-19,,1
STMP1,0,1.053995426,3.76380883088201e-47,7q33,3
DESI2,0,1.26668661,7.755144554546289e-62,1q44,2
METTL5,0,0.418673001,3.82185214720317e-08,2q31.1,4
TFAM,0,0.282439552,0.000247501,10q21.1,1
ARL6IP6,0,0.632283434,6.19884661305541e-18,2q23.3,8
STAU1,0,0.574305198,8.390883187023559e-30,20q13.13,5
RPL36,0,0.565613521,8.488911285571e-07,19p13.3,2
B2M,0,0.423126954,1.86823393162025e-05,15q21.1,3
TMSB4X,0,0.450054818,1.89878233242887e-05,Xp22.2,1
CD52,0,0.825738183,2.95268491439984e-06,1p36.11,1
HLA-B,0,1.243347661,9.6046822618359e-31,6p21.33,3
OLA1,0,0.615075638,2.02650165050948e-21,2q31.1,4
PFDN4,0,0.785906194,4.38904956650186e-24,20q13.2,2
MRPL39,0,0.633406674,3.19636398595813e-18,21q21.3,1
SEC63,0,0.407442071,4.21196931440123e-09,6q21,3
MRPL42,0,0.620229303,6.228981444491239e-26,12q22,1
